#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="294E6E185", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2014-10-29, 10:01:49,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.0,   3.2,   0.00,   0.00,  -11.39,   1.12,  -0.03,   0.00,   0.02, 175.3, 267.3,  27.9,  28.0,   3.2,   0.5,  21.81,  21.54,     2.45,  122.91,   56.06, 1016.4,  153.22,  160.61,  159.65,  167.02,  992.54,  992.16, 1017.44,  999.54,   745.2,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:49,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   832.9,   3.2,   0.00,   0.00,  -13.46,   1.13,   0.01,  -0.00,  -0.01, 175.4, 267.3,  28.0,  28.0,   3.3,   0.5,  21.81,  21.54,     2.39,  122.91,   55.59,  994.7,  153.31,  160.68,  159.71,  167.11,  992.85,  992.90, 1017.47, 1000.36,   745.1,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:50,  -05:00,       ,             ,             ,   826.3, 30.12,        ,   3.2,   0.00,       ,  -15.91,   1.13,  -0.02,   0.01,   0.01, 175.4,      ,  27.9,  28.0,   3.2,   0.4,  21.81,  21.59,     2.29,  122.86,   55.17,  942.7,  153.78,  161.09,  160.00,  167.47,  992.35,  997.74, 1012.06, 1003.62,        ,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2014-10-29, 10:01:51,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.1,   3.2,   0.00,   0.00,  -16.00,   1.14,  -0.04,   0.01,   0.01, 175.3, 267.3,  28.0,  28.0,   3.1,   0.4,  21.88,  21.54,     2.28,  122.82,   55.24,  943.7,  154.21,  161.46,  160.29,  167.81,  989.51,  997.97, 1008.37, 1004.51,   745.3,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:52,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.4,   3.2,   0.00,   0.00,   -4.60,   1.14,  -0.01,   0.01,   0.01, 175.3, 267.3,  28.0,  28.0,   3.1,   0.4,  21.88,  21.54,     2.29,  122.77,   55.38,  950.9,  154.64,  161.86,  160.58,  168.17,  987.92,  997.37, 1005.99, 1004.99,   745.5,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:53,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.5,   3.2,   0.00,   0.00,   -0.18,   1.13,   0.01,  -0.00,   0.02, 175.3, 267.3,  28.0,  28.0,   3.0,   0.4,  21.81,  21.54,     2.27,  122.72,   55.45,  961.3,  155.12,  162.28,  160.87,  168.56,  986.29,  995.85, 1005.45, 1005.06,   745.7,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:54,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.4,   3.0,   0.00,   0.00,    1.26,   1.12,   0.00,   0.00,   0.01, 175.3, 267.3,  28.0,  28.0,   3.1,   0.4,  21.81,  21.54,     2.25,  122.68,   55.47,  958.3,  155.57,  162.74,  161.31,  169.03,  985.31,  994.39, 1005.35, 1006.35,   745.5,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:55,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.3,   3.0,   0.00,   0.00,    0.05,   1.11,   0.00,   0.00,   0.00, 175.3, 267.3,  27.9,  28.0,   3.0,   0.4,  21.81,  21.54,     2.25,  122.63,   55.45,  957.4,  156.04,  163.17,  161.61,  169.40,  984.51,  993.18, 1006.26, 1009.66,   745.4,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 123.300,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:56,  -05:00,       ,   47.9504051,  -97.1732864,   826.3, 30.12,   833.3,   3.0,   0.00,   0.00,    0.00,   1.10,   0.00,  -0.00,  -0.01, 175.3, 267.3,  27.9,  28.0,   2.9,   0.4,  21.81,  21.54,     2.26,  122.58,   55.55,  963.9,  156.57,  163.63,  161.96,  169.82,  985.16,  991.79, 1008.57, 1012.50,   745.4,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 124.575,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2014-10-29, 10:01:58,  -05:00,       ,   47.9504051,  -97.1732864,   827.3, 30.12,   833.2,   3.0,   0.00,   0.00,   15.79,   1.09,   0.01,  -0.01,  -0.01, 175.3, 267.3,  28.0,  28.0,   3.0,   0.4,  21.76,  21.54,     2.25,  122.50,   55.80,  980.0,  157.27,  164.32,  162.55,  170.51,  985.75,  988.10, 1010.35, 1013.81,   745.4,   0,  GPS,  252.5, 114.30, 111.00, 120.550, 124.575,       ,       ,       ,      ,       ,       ,    3.3,       ,      ,       ,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
